Arquivo,Tamanho (KB),Data Modificação
TG103_103001_67111_01796_103_20251216112331_91.13.BIN,105.87,16/12/2025 11:24
TG103_103001_67111_01797_103_20251216153141_91.13.BIN,18.75,16/12/2025 15:32
TG103_103001_67111_01798_103_20251216215112_91.13.BIN,184.50,16/12/2025 21:50
TG103_103002_67032_01723_103_20251216101849_91.13.BIN,3.69,16/12/2025 10:19
TG103_103002_67032_01724_103_20251216175201_91.13.BIN,208.13,16/12/2025 17:52
TG103_103002_67032_01725_103_20251216235013_91.13.BIN,115.62,16/12/2025 23:50
