Arquivo,Tamanho (KB),Data Modificação
TG103_103001_67111_01712_103_20251110175211_91.13.BIN,205.87,10/11/2025 17:50
TG103_103001_67111_01713_103_20251110235110_91.13.BIN,95.19,10/11/2025 23:50
TG103_103002_67032_01642_103_20251110112508_91.13.BIN,153.30,10/11/2025 11:23
TG103_103002_67032_01643_103_20251110155431_91.13.BIN,34.95,10/11/2025 15:55
TG103_103002_67032_01644_103_20251110155654_91.13.BIN,1.99,10/11/2025 15:57
TG103_103002_67032_01645_103_20251110155726_91.13.BIN,0.93,10/11/2025 15:57
TG103_103002_67032_01646_103_20251110214505_91.13.BIN,100.16,10/11/2025 21:44
