Arquivo,Tamanho (KB),Data Modificação
TG103_103001_67111_01717_103_20251112155842_91.13.BIN,133.06,12/11/2025 15:59
TG103_103001_67111_01718_103_20251112214945_91.13.BIN,150.83,12/11/2025 21:49
TG103_103002_67032_01649_103_20251112112238_91.13.BIN,88.83,12/11/2025 11:23
TG103_103002_67032_01650_103_20251112175043_91.13.BIN,94.81,12/11/2025 17:51
TG103_103002_67032_01651_103_20251112234910_91.13.BIN,92.88,12/11/2025 23:49
